1,1,0,0,0,0
145,1,0,0,0,0
146,1,0,0,0,0
300,1,0,0,0,0
21,3,3,0,0,0
22,1,0,0,0,0
147,3,3,0,0,0
23,1,0,0,0,0
148,1,0,0,0,0
312,6,0,0,0,0
59,6,6,0,0,0
130,1,0,0,0,0
294,1,0,0,0,0
301,3,0,0,0,0
24,1,0,0,0,0
46,1,0,0,0,0
181,1,0,0,0,0
342,1,0,0,0,0
182,6,0,0,0,0
8,3,0,0,0,0
56,1,0,0,0,0
343,6,6,0,0,0
9,1,0,0,0,0
185,1,0,0,0,0
57,1,0,0,0,0
58,1,0,0,0,0
345,3,0,0,0,0
183,1,0,0,0,0
344,3,0,0,0,0
187,1,0,0,0,0
384,3,3,0,0,0
60,3,3,0,0,0
189,6,6,0,0,0
13,12,7,0,0,0
214,6,6,0,0,0
354,3,3,0,0,0
218,3,3,0,0,0
219,6,6,0,0,0
87,3,3,0,0,0
92,12,6,6,0,0
