8,1,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,3,0,0,0,0
12,3,2,0,0,0
13,1,0,0,0,0
141,1,0,0,0,0
143,1,0,0,0,0
189,1,0,0,0,0
206,3,0,0,0,0
207,6,0,0,0,0
241,6,4,0,0,0
142,1,0,0,0,0
6,3,0,0,0,0
140,1,0,0,0,0
202,3,0,0,0,0
23,1,0,0,0,0
49,3,0,0,0,0
119,1,0,0,0,0
187,6,4,0,0,0
237,1,0,0,0,0
238,3,2,0,0,0
271,1,0,0,0,0
25,1,0,0,0,0
26,1,0,0,0,0
213,3,2,0,0,0
226,1,0,0,0,0
230,1,0,0,0,0
252,1,0,0,0,0
152,1,0,0,0,0
156,1,0,0,0,0
212,3,0,0,0,0
266,12,6,6,0,0
262,6,4,0,0,0
259,12,6,6,0,0
257,6,4,0,0,0
179,3,2,0,0,0
173,6,4,0,0,0
171,3,2,0,0,0
159,6,3,0,0,0
