15,1,0,0,0,0
243,1,0,0,0,0
146,1,0,0,0,0
244,3,5,0,0,0
147,6,2,2,0,0
245,3,5,0,0,0
211,1,0,0,0,0
16,1,0,0,0,0
18,1,0,0,0,0
17,1,0,0,0,0
19,1,0,0,0,0
148,3,5,0,0,0
149,6,2,2,0,0
248,1,0,0,0,0
246,1,0,0,0,0
249,1,0,0,0,0
21,6,2,2,0,0
22,1,0,0,0,0
24,1,0,0,0,0
152,3,5,0,0,0
156,1,0,0,0,0
155,1,0,0,0,0
212,1,0,0,0,0
251,1,0,0,0,0
250,1,0,0,0,0
254,1,0,0,0,0
26,1,0,0,0,0
154,3,5,0,0,0
213,1,0,0,0,0
253,1,0,0,0,0
252,6,2,2,0,0
25,1,0,0,0,0
301,6,0,0,0,0
302,3,5,0,0,0
35,12,2,2,2,2
40,3,5,0,0,0
47,3,5,0,0,0
48,12,6,6,0,0
97,6,2,2,0,0
160,12,3,3,3,3
